label,file,obj0,obj1,obj2,obj3,total_production,avg_daily_production,avg_daily_active,material_shortage,excess_machines,penalty_score
pareto24,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto24.xlsx,-160960.27999999997,0.05694557386806019,0.08870966633064656,0.2551303936741933,160960.27999999997,5192.267096774193,7.290322580645161,0.0,0.0,5010058.0
pareto25,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto25.xlsx,-158153.328,0.07345313638473937,0.08467740877016261,0.23259495191186952,158153.328,5101.720258064516,7.32258064516129,0.0,0.0,4930042.0
pareto26,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto26.xlsx,-159366.92768000002,0.06005405485793049,0.06451612096774295,0.24759547078736915,159366.92768000002,5140.868634838709,7.483870967741935,0.0,0.0,4030045.0
pareto27,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto27.xlsx,-163612.152,0.03801145647799623,0.12096772681451803,0.29939632721170245,163612.152,5277.81135483871,7.032258064516129,0.0,0.0,6208000.0
pareto28,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto28.xlsx,-159656.2224,0.05134907416546315,0.08870966633064656,0.2683291508897007,159656.2224,5150.200722580646,7.290322580645161,0.0,0.0,5260008.0
pareto29,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto29.xlsx,-159656.2224,0.05134907416546315,0.08870966633064656,0.2683291508897007,159656.2224,5150.200722580646,7.290322580645161,0.0,0.0,5260008.0
pareto30,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto30.xlsx,-164579.381888,0.0903563610412683,0.06451612096774295,0.30889270609866315,164579.381888,5309.012318967742,7.483870967741935,0.0,0.0,3780044.0
pareto31,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto31.xlsx,-159656.2224,0.05134907416546315,0.08870966633064656,0.2683291508897007,159656.2224,5150.200722580646,7.290322580645161,0.0,0.0,5260008.0
pareto32,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto32.xlsx,-163103.128,0.04985765233649295,0.08870966633064656,0.32410382409894056,163103.128,5261.391225806453,7.290322580645161,0.0,0.0,5010044.0
pareto33,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto33.xlsx,-160960.27999999997,0.05694557386806019,0.08870966633064656,0.2551303936741933,160960.27999999997,5192.267096774193,7.290322580645161,0.0,0.0,5010058.0
pareto34,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto34.xlsx,-163612.152,0.03801145647799623,0.12096772681451803,0.29939632721170245,163612.152,5277.81135483871,7.032258064516129,0.0,0.0,6208000.0
pareto35,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto35.xlsx,-161281.09216,0.04518656763773696,0.10887095413306623,0.3306763995463071,161281.09216,5202.615876129033,7.129032258064516,0.0,0.0,6160043.0
pareto36,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto36.xlsx,-160960.27999999997,0.05694557386806019,0.08870966633064656,0.2551303936741933,160960.27999999997,5192.267096774193,7.290322580645161,0.0,0.0,5010058.0
pareto37,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto37.xlsx,-159366.92768000002,0.06005405485793049,0.06451612096774295,0.24759547078736915,159366.92768000002,5140.868634838709,7.483870967741935,0.0,0.0,4030045.0
